id,surface,text,value,unit,dateShown,datasetField,source,traceability,reproduction,witnesses,wording
C035,/market/,stat: tokens created net,"+2,685,113",,23 h to 5 Sept 2026,"primary-flows.observed.json windows[-1] netCreated=2685113.24, mints=3203, burns=513",scripts/measure-primary-flows.mjs (daily),traced,recomputed: minted - burned = net; windows contiguous,single collector run; not re-read from chain,holds
C036,/market/,stat: creations,3203,,188 tokens moved,"primary-flows.observed.json windows[-1] netCreated=2685113.24, mints=3203, burns=513",scripts/measure-primary-flows.mjs (daily),traced,recomputed: minted - burned = net; windows contiguous,single collector run; not re-read from chain,holds
C037,/market/,stat: redemptions,513,,contiguous with the last window,"primary-flows.observed.json windows[-1] netCreated=2685113.24, mints=3203, burns=513",scripts/measure-primary-flows.mjs (daily),traced,recomputed: minted - burned = net; windows contiguous,single collector run; not re-read from chain,holds
C038,/market/,gap rows,26,,,dex-feed-gap.observed.json summary (17:26 reading on the live page; 18:30 in the record),scripts/measure-dex-feed-gap.mjs (hourly),traced to the 17:26 reading; record moved to 18:30 (F11),"summary medians recomputed from rows: 46.88 bps, 248.39 max, 83907 s",single instant read; not re-read,holds; date and n stated
C039,/market/,session rows,5,,,dex-feed-gap.observed.json summary (17:26 reading on the live page; 18:30 in the record),scripts/measure-dex-feed-gap.mjs (hourly),traced to the 17:26 reading; record moved to 18:30 (F11),"summary medians recomputed from rows: 46.88 bps, 248.39 max, 83907 s",single instant read; not re-read,holds; date and n stated
C040,"/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/ [none, 150 tokens]",answer,"No dividend has been declared for this token, and its multiplier has never moved.",,,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C041,/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/ [none],stat: shares per token today,1,,unchanged since launch,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C042,/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/ [none],stat: owed,—,,nothing declared and unpaid,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C043,/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/ [none],stat: no dividend measured yet,—,,,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C044,/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/ [none],stat: Chainlink price feed,no,,nothing to price a step against,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C045,/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/ [none],og:image,https://www.exdate.me/t/0xa5d4968421ba94814be3b136b15cf422101ac1a3/opengraph-image?28f3018767a00d7f,,,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C046,/badge/0xa5d4968421ba94814be3b136b15cf422101ac1a3.svg [none],badge value,Intuitive Machines (LUNR) on exdate: no dividend declared,,,"registry + events + archive: LUNR never moved, nothing declared",,traced,reproduced from the files,chain: multiplier 1.0 at head on 2 endpoints,holds
C047,"/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved, 4 tokens]",answer,The multiplier last moved on 27 July 2026 with no dividend declared in the issuer’s feed.,,,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C048,/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved],stat: shares per token today,1.002211,,since 27 Jul 2026,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C049,/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved],stat: owed,—,,nothing declared and unpaid,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C050,/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved],stat: no dividend measured yet,—,,1 change on chain,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C051,/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved],stat: Chainlink price feed,yes,,paired by ticker only,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C052,/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved],dividend row: 27 Jul 2026 on chain Step observed +0.22,— | — | — | nothing declared,,,reconciliations rows status=unmatched,,traced,reproduced: no issuer row inside the 4-day window,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds ('nothing declared'; July loss is known gap 1.6)
C053,/t/0xb0992820e760d836549ba69bc7598b4af75dee03/ [moved],og:image,https://www.exdate.me/t/0xb0992820e760d836549ba69bc7598b4af75dee03/opengraph-image?28f3018767a00d7f,,,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C054,/badge/0xb0992820e760d836549ba69bc7598b4af75dee03.svg [moved],badge value,"Oracle (ORCL) on exdate: moved on chain, nothing declared",,,"ORCL: events (2026-07-27), map pairing ticker only",,traced,"reproduced: step +22.11 bps, no issuer row (July loss)","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C055,"/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next, 21 tokens]",answer,Next dividend declared for 14 September 2026 : $ 0.2200 per share. Nothing is owed yet.,,,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C056,/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next],stat: shares per token today,1,,unchanged since launch,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C057,/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next],"stat: per share, declared",$0.2200,,for 14 Sept 2026 · nothing owed yet,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C058,/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next],stat: no dividend measured yet,—,,,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C059,/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next],stat: Chainlink price feed,yes,,"paired by ticker, confirmed by its price",GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C060,/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next],dividend row: 14 Sept 2026 issuer’s date Declared for ,$0.2200 | — | $0.2200 | upcoming,,,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C061,/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/ [next],og:image,https://www.exdate.me/t/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3/opengraph-image?28f3018767a00d7f,,,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C062,/badge/0x2e0847e8910a9732eb3fb1bb4b70a580adad4fe3.svg [next],badge value,Alphabet Class A (GOOGL) on exdate: dividend declared for 14 Sep,,,GOOGL: archive row 2026-09-14 rate 0.22; map corroboratedBy traded-price,,traced,reproduced: owed = 0.22 x 1.0,issuer API refetched 2026-09-05T19:55Z; map,holds
C063,"/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured, 5 tokens]",answer,"Last dividend on chain, 1 September 2026 : $ 0.1500 declared, and no price feed to measure what arrived .",,,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C064,/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured],stat: shares per token today,1.000146,,since 2 Sept 2026,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C065,/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured],stat: owed,—,,nothing declared and unpaid,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C066,/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured],stat: last dividend not measurable,—,,no price feed,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C067,/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured],stat: Chainlink price feed,no,,nothing to price a step against,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C068,/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured],dividend row: 1 Sept 2026 issuer’s date Price at the s,$0.1500 | — | — | no price feed,,,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C069,/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/ [measured],og:image,https://www.exdate.me/t/0x25c288e6d899b9bc30160965ad9644c67e73be0c/opengraph-image?28f3018767a00d7f,,,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C070,/badge/0x25c288e6d899b9bc30160965ad9644c67e73be0c.svg [measured],badge value,"Ford Motor (F) on exdate: dividend on chain, not measurable",,,"F: events 2026-09-02, archive 2026-09-01 rate 0.15, no feed, capture givenUp",,traced,reproduced,"chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only; capture record",holds
C071,"/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed, 14 tokens]",answer,"2 dividends are owed and not yet on chain , the oldest declared for 5 August 2026 ; the issuer already calls some of them paid .",,,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C072,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],stat: shares per token today,1,,unchanged since launch,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C073,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],"stat: dividends owed, not on chain",2,,declared for 5 Aug 2026,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C074,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],stat: no dividend measured yet,—,,,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C075,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],stat: Chainlink price feed,no,,nothing to price a step against,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C076,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],dividend row: 3 Sept 2026 issuer’s date Declared for 3,$0.2529 | — | $0.2529 | due,,,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C077,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],dividend row: 5 Aug 2026 issuer’s date Declared for 5 ,$0.2516 | — | $0.2516 | issuer says paid,,,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C078,/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/ [owed],og:image,https://www.exdate.me/t/0x2f62fc9fabb470c690f141c28340ed832bb27020/opengraph-image?28f3018767a00d7f,,,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C079,/badge/0x2f62fc9fabb470c690f141c28340ed832bb27020.svg [owed],badge value,"Vanguard Total Bond Market ETF (BND) on exdate: 2 dividends owed, not on chain",,,BND: archive rows 08-05 (COMPLETED) and 09-03; multiplier 1.0,,traced,reproduced: owed = rate x 1.0 (0.2516 / 0.2529),issuer API refetched 2026-09-05T19:55Z; chain multiplier at head,holds
C080,/about/,stat: warning before a change,~10 min,,12 changes so far,multiplier-events leadMinutes,,traced,"recomputed: median 9.6 min, 11 of 12 within 10 min","chain: 2 endpoints at head (blockmachine, Robinhood); state at the step: blockmachine only",holds
C081,/about/,stat: after the issuer’s date,1 day,,4 of 6 datable cases,reconciliations change.lagDays on 6 datable rows,,traced,"recomputed: lags 1,1,3,1,3,1 -> median 1 day, 4 of 6 at 1 day",issuer API refetched 2026-09-05T19:55Z,holds
C082,/about/,stat: Stock Tokens read,194,,last observed 5 September 2026,robinhood-assets.snapshot.json 194 (fetched 2026-09-02),,traced,refetched: 194,issuer API refetched 2026-09-05T19:55Z,holds
C083,/tokenlist.json,tokens,194,,,exdate.tokenlist.json,,traced,"rebuilt from committed data: NOT byte-identical (DELL corroboration, F03)",n/a,holds
C084,/tokenlist.json,version,"{""major"": 1, ""minor"": 0, ""patch"": 3}",,2026-09-05T06:38:51.926Z,exdate.tokenlist.json,,traced,"rebuilt from committed data: NOT byte-identical (DELL corroboration, F03)",n/a,holds
